# 指数包间隔，均值 500 ms（等价于 legacy 的 arrival_rate_hz=2.0 泊松到达）
# 由 scripts/make_field_bimodal_cdf.py 生成，勿手改
value_ms,cdf
7.8662,0.015609
15.8582,0.031219
23.98,0.046828
32.2359,0.062437
40.6304,0.078047
49.1683,0.093656
57.8545,0.109266
66.6943,0.124875
75.6931,0.140484
84.8569,0.156094
94.1918,0.171703
103.7043,0.187312
113.4013,0.202922
123.2901,0.218531
133.3784,0.234141
143.6744,0.24975
154.1869,0.265359
164.9252,0.280969
175.8992,0.296578
187.1195,0.312188
198.5974,0.327797
210.3449,0.343406
222.3751,0.359016
234.7019,0.374625
247.3403,0.390234
260.3065,0.405844
273.6179,0.421453
287.2933,0.437063
301.3534,0.452672
315.8203,0.468281
330.7183,0.483891
346.0738,0.4995
361.916,0.515109
378.2765,0.530719
395.1905,0.546328
412.6968,0.561937
430.8384,0.577547
449.663,0.593156
469.2242,0.608766
489.582,0.624375
510.8039,0.639984
532.9667,0.655594
556.1576,0.671203
580.4766,0.686813
606.0392,0.702422
632.9795,0.718031
661.4544,0.733641
691.6494,0.74925
723.7858,0.764859
758.1303,0.780469
795.0092,0.796078
834.8262,0.811688
878.0906,0.827297
925.4563,0.842906
977.783,0.858516
1036.233,0.874125
1102.4315,0.889734
1178.7517,0.905344
1268.8571,0.920953
1378.8501,0.936562
1520.0707,0.952172
1717.6033,0.967781
2048.894,0.983391
3453.8776,0.999
6907.7552,1.0
